ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome_name	start_position	end_position	description	external_gene_name
YAL019W	388.447569102488	-0.947899391967234	0.0938670855420611	-10.098314936416	5.6199531187189e-24	2.24798124748756e-23	I	114919	118314	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate [Source:SGD;Acc:S000000017]	FUN30
YAL022C	206.67900028334	-0.508607853043899	0.0768103403962821	-6.62160654958531	3.55315764515397e-11	9.11066062859993e-11	I	108877	110430	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member [Source:SGD;Acc:S000000020]	FUN26
YAL023C	1218.62017514458	-1.41222126279831	0.0512796761733863	-27.5395901101895	5.89714686790594e-167	9.82857811317657e-166	I	106272	108551	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication [Source:SGD;Acc:S000000021]	PMT2
YAL025C	436.704442419048	-1.06090793571034	0.0676143604186229	-15.6905711914142	1.75469532991102e-55	1.2533538070793e-54	I	100225	101145	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus [Source:SGD;Acc:S000000023]	MAK16
YAL026C	312.666724636917	-0.528993008749693	0.0675234694639354	-7.83420954150216	4.71801389561227e-15	1.42970118048857e-14	I	95630	99697	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease [Source:SGD;Acc:S000000024]	DRS2
YAL027W	111.411607359859	0.956319369321564	0.101544152242255	9.41776900200083	4.60774060336385e-21	1.70657059383846e-20	I	94687	95472	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus [Source:SGD;Acc:S000000025]	SAW1
YAL028W	50.6493232607773	0.82744026449201	0.145553000780812	5.68480388623557	1.3096285621722e-08	2.910285693716e-08	I	92900	94486	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication [Source:SGD;Acc:S000000026]	FRT2
YAL029C	494.015271045178	-1.16416750472035	0.0622499325324887	-18.7015062885854	4.81258344771557e-78	4.37507586155961e-77	I	87855	92270	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication [Source:SGD;Acc:S000000027]	MYO4
YAL030W	166.413427306369	1.00438420251007	0.0878173021141476	11.4372017624106	2.72534269741735e-30	1.51407927634297e-29	I	87286	87752	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication [Source:SGD;Acc:S000000028]	SNC1
YAL032C	127.413407605258	0.828171803516829	0.0930650225194797	8.89885137397868	5.64275955535852e-19	1.94577915702018e-18	I	83335	84474	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene [Source:SGD;Acc:S000000030]	PRP45
YAL033W	100.77458824607	-0.97760405408308	0.107313786726163	-9.10977129693202	8.25558149424006e-20	2.94842196222859e-19	I	82706	83227	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs [Source:SGD;Acc:S000000031]	POP5
YAL034C	202.492110734252	1.8021434262114	0.0839762124952375	21.4601655952702	3.66994356123324e-102	4.58742945154155e-101	I	80710	81951	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication [Source:SGD;Acc:S000002134]	FUN19
YAL035W	1687.32846388765	-0.759568675581764	0.0713552910487761	-10.6448823124069	1.84216912795748e-26	8.37349603617035e-26	I	76427	79435	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2 [Source:SGD;Acc:S000000033]	FUN12
YAL036C	359.254107913619	-0.926551572547028	0.0737659592265775	-12.5606930657684	3.47277379163798e-36	2.17048361977374e-35	I	75043	76152	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid [Source:SGD;Acc:S000000034]	RBG1
YAL037C-A	5.34176312722148	-1.69101784589197	0.475438846243969	-3.55675153440078	0.000375468967381518	0.000708432013927393	I	73426	73518	Putative protein of unknown function [Source:SGD;Acc:S000028732]	
YAL037C-B	17.6259100821223	-0.740381646415431	0.241351740476288	-3.0676457727396	0.002157522014638	0.00365681697396271	I	72326	73300	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching [Source:SGD;Acc:S000028592]	
YAL038W	3446.18384133972	-0.945372891478535	0.0849547764540337	-11.1279545534446	9.17159394090255e-29	4.58579697045128e-28	I	71786	73288	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication [Source:SGD;Acc:S000000036]	CDC19
YAL040C	253.59163564021	-0.691496597391673	0.0824050687107195	-8.39143281124067	4.80252775301011e-17	1.549202500971e-16	I	65778	67520	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1 [Source:SGD;Acc:S000000038]	CLN3
YAL042W	572.974186572282	-0.838089133961519	0.0749642323880652	-11.1798534749613	5.11744081950931e-29	2.6933899050049e-28	I	61316	62563	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport [Source:SGD;Acc:S000000040]	ERV46
YAL044C	827.688055890908	-0.768240315829353	0.0736576808169698	-10.4298738068924	1.81128688280018e-25	7.54702867833407e-25	I	57950	58462	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF [Source:SGD;Acc:S000000042]	GCV3
YAL044W-A	5.42734549134058	1.17306252142166	0.436630341172371	2.68662621629074	0.00721776729381457	0.0114567734822453	I	57518	57850	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein [Source:SGD;Acc:S000007586]	BOL1
YAL048C	107.081315283042	0.51355174091398	0.0989438274693176	5.19033631555473	2.09914583700777e-07	4.28397109593423e-07	I	52801	54789	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases [Source:SGD;Acc:S000000046]	GEM1
YAL049C	334.444552376592	0.705503934622678	0.0864638369183368	8.1595261067238	3.36341578076563e-16	1.05106743148926e-15	I	51855	52595	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor [Source:SGD;Acc:S000000047]	AIM2
YAL054C	3497.85941380678	6.58690884625575	0.0791565082881817	83.2137367943906	0	0	I	42881	45022	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions [Source:SGD;Acc:S000000050]	ACS1
YAL055W	33.5321467693774	1.09842102634403	0.181483739779578	6.05244870795655	1.42660430078401e-09	3.39667690662861e-09	I	42177	42719	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation [Source:SGD;Acc:S000000051]	PEX22
YAL056W	256.828969884795	0.687102329872772	0.0796032131494172	8.63159039300416	6.05047187980551e-18	2.01682395993517e-17	I	39259	41901	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication [Source:SGD;Acc:S000000052]	GPB2
YAL058W	117.602081267152	-0.784032304433538	0.100150004953165	-7.82857978689254	4.9341178094897e-15	1.45121112043815e-14	I	37464	38972	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast [Source:SGD;Acc:S000000054]	CNE1
YAL059W	57.737985985464	-1.02534440415421	0.137634416222473	-7.44976752396608	9.3504850655752e-14	2.59735696265978e-13	I	36509	37147	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm [Source:SGD;Acc:S000000055]	ECM1
YAL061W	298.166852055112	2.99234212540635	0.0999772576648044	29.9302280868598	7.95828209804953e-197	1.59165641960991e-195	I	33448	34701	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 [Source:SGD;Acc:S000000057]	BDH2
YAL062W	337.248888187945	4.06627406632559	0.104233632007565	39.0111520438095	0	0	I	31567	32940	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication [Source:SGD;Acc:S000000058]	GDH3
YAR002C-A	610.995164347771	-0.782613591628666	0.0486994688108464	-16.0702695684098	4.12289550879699e-58	3.17145808368999e-57	I	154065	154724	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication [Source:SGD;Acc:S000002129]	ERP1
YAR002W	300.764289219779	-0.72892330622724	0.0678131688498942	-10.7489934269364	5.99118356624385e-27	2.85294455535421e-26	I	152257	153876	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153 [Source:SGD;Acc:S000000063]	NUP60
YAR003W	182.241109222653	-0.618717399973843	0.0833302383953138	-7.42488455437609	1.12878325390766e-13	3.05076555110179e-13	I	155005	156285	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7 [Source:SGD;Acc:S000000064]	SWD1
YAR009C	148.438039961592	-0.634054511098512	0.103884273440364	-6.10346966003953	1.03790277658235e-09	2.53147018678621e-09	I	160597	164187	Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000000067]	
YAR010C	81.5160133790012	-0.718990119337233	0.128015591744737	-5.61642616761012	1.94947493763256e-08	4.14781901623949e-08	I	164544	165866	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional [Source:SGD;Acc:S000000068]	
YAR015W	1196.2461616492	-1.55130761816208	0.0662641939632644	-23.4109482871262	3.30598655498432e-121	4.72283793569189e-120	I	169375	170295	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000070]	ADE1
YAR020C	18.6159318299224	2.06411953939761	0.265215075530632	7.78281376074795	7.09290124115105e-15	2.02654321175744e-14	I	176856	177023	Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme [Source:SGD;Acc:S000000073]	PAU7
YAR028W	46.9535078602243	-1.71166240635992	0.171712067493865	-9.96821266752888	2.09973297138727e-23	8.07589604379719e-23	I	184892	185596	Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000000076]	
YAR029W	4.37443069310991	-1.26620830691427	0.491407701764914	-2.57669609647269	0.00997496076035579	0.0148880011348594	I	186321	186545	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern [Source:SGD;Acc:S000000077]	
YAR035C-A	2.57287986901202	2.36630990487721	0.795770275916788	2.97360931476241	0.00294319549750732	0.00490532582917887	I	192337	192417	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; predicted to have a role in cell budding based on computational guilt by association analysis [Source:SGD;Acc:S000028595]	
YAR035W	445.672854538804	2.82821763139237	0.0912205667751791	31.0041663999168	4.73668244955861e-211	1.18417061238965e-209	I	190193	192256	Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated [Source:SGD;Acc:S000000080]	YAT1
YAR060C	6.11338226784817	1.34925586338484	0.458670184525725	2.94166900074397	0.00326448657663904	0.00535161733875252	I	217157	217492	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication [Source:SGD;Acc:S000000086]	
YAR066W	39.2634102580892	0.923185704668398	0.162878759898974	5.6679318116187	1.44531458539502e-08	3.1419882291196e-08	I	221049	221660	Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication [Source:SGD;Acc:S000002144]	
YAR068W	36.4814714169552	1.10343839482436	0.175679977570645	6.28095705659252	3.36495087399815e-10	8.41237718499538e-10	I	222406	222891	Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication [Source:SGD;Acc:S000000091]	
